label,ff48_dummies,sentiment_var,coef,se,t,p,n,n_quarters,adj_r2_avg
col2_FinNeg_prop_MDA,True,fin_neg_prop_mda,-0.15528502043005143,0.04555341817949517,-3.4088555071362228,0.0006523602304271403,79656,110,0.039336992437575415
col4_FinNeg_tfidf_MDA,True,fin_neg_tfidf_mda,-0.01078071359639839,0.0028312350967210987,-3.8077776052167893,0.00014022128926272082,79656,110,0.0408800550880639
col2_FinNeg_prop_MDA,False,fin_neg_prop_mda,-0.18351333065544778,0.04535262645888763,-4.046366108957405,5.20188554089529e-05,79656,110,0.020313623812988613
col4_FinNeg_tfidf_MDA,False,fin_neg_tfidf_mda,-0.011193729693170298,0.003004404948759924,-3.7257726185647977,0.00019471787500480175,79656,110,0.020195477082400735
