subperiod,year_start,year_end,spec,sentiment,n_obs,n_quarters,coef,se,t,p,adj_r2_avg
LM_in_sample,1994,2008,table_IV_col2_FinNeg_prop,fin_neg_prop,50681,60,-0.2867189456762704,0.0944244410186196,-3.0364907918250967,0.0023934941927417075,0.022879481192226624
LM_in_sample,1994,2008,table_IV_col4_FinNeg_tfidf,fin_neg_tfidf_full,50681,60,-0.009362420042796856,0.003393642004546184,-2.758811928381011,0.00580119109182653,0.02520666747809538
LM_in_sample,1994,2008,table_V_col2_FinNeg_prop_MDA,fin_neg_prop_mda,48134,60,-0.21592322599214328,0.061059926840499046,-3.5362509777677706,0.000405848925343566,0.023701465034245816
LM_in_sample,1994,2008,table_V_col4_FinNeg_tfidf_MDA,fin_neg_tfidf_mda,48134,60,-0.015142708588641075,0.004252637740530139,-3.560780276279391,0.0003697544001532993,0.024639221653226517
GFC,2008,2009,table_IV_col2_FinNeg_prop,fin_neg_prop,6077,8,-0.04042518720941396,0.22169961617298806,-0.182342161467122,0.8553142131927773,0.03437755158813312
GFC,2008,2009,table_IV_col4_FinNeg_tfidf,fin_neg_tfidf_full,6077,8,-0.007103248626038615,0.004754329312816615,-1.4940590267674214,0.13516019199339868,0.034787212830571526
GFC,2008,2009,table_V_col2_FinNeg_prop_MDA,fin_neg_prop_mda,6027,8,-0.31676545563289366,0.11358931519689595,-2.7886906007295824,0.005292159654752604,0.03244243550398712
GFC,2008,2009,table_V_col4_FinNeg_tfidf_MDA,fin_neg_tfidf_mda,6027,8,-0.006422860917846601,0.005316110531190779,-1.2081879938654918,0.22697495885489172,0.03377681499143734
post_LM,2009,2014,table_IV_col2_FinNeg_prop,fin_neg_prop,17363,24,0.13462570573667734,0.11645688701208284,1.1560132611367966,0.24767573278505162,0.04582849311965557
post_LM,2009,2014,table_IV_col4_FinNeg_tfidf,fin_neg_tfidf_full,17363,24,0.001334395530821543,0.0032638439399721563,0.40884170792581664,0.682655829728188,0.04530712986604512
post_LM,2009,2014,table_V_col2_FinNeg_prop_MDA,fin_neg_prop_mda,17241,24,-0.05007346472308169,0.07897780655656289,-0.63401944047686,0.5260681350628005,0.04396368510933637
post_LM,2009,2014,table_V_col4_FinNeg_tfidf_MDA,fin_neg_tfidf_mda,17241,24,-0.00489734249162594,0.0028521354970786734,-1.7170791838754118,0.08596470500848419,0.04361261439471023
algo_era,2015,2019,table_IV_col2_FinNeg_prop,fin_neg_prop,13127,20,0.1180493057099514,0.13093560764086326,0.9015829065668901,0.3672784746125006,0.07574632645810617
algo_era,2015,2019,table_IV_col4_FinNeg_tfidf,fin_neg_tfidf_full,13127,20,0.00529655594672304,0.004366205911314735,1.2130797434443858,0.22509933381920533,0.08055350033003507
algo_era,2015,2019,table_V_col2_FinNeg_prop_MDA,fin_neg_prop_mda,13044,20,-0.15544521489924074,0.07624455145316636,-2.0387714523407463,0.041472842727972914,0.07355306458206012
algo_era,2015,2019,table_V_col4_FinNeg_tfidf_MDA,fin_neg_tfidf_mda,13044,20,-0.0033855233132690215,0.0035175827108379167,-0.9624573440271892,0.3358199203743504,0.07523945645207472
covid_recent,2020,2024,table_IV_col2_FinNeg_prop,fin_neg_prop,1242,6,0.1593074260225133,0.4389201767040402,0.36295307091779655,0.7166399411508317,-0.0045889351841498964
covid_recent,2020,2024,table_IV_col4_FinNeg_tfidf,fin_neg_tfidf_full,1242,6,-0.019540298312658886,0.00771383729197382,-2.5331488820733092,0.011304292818973938,0.003161296199116722
covid_recent,2020,2024,table_V_col2_FinNeg_prop_MDA,fin_neg_prop_mda,1237,6,0.5774872666018589,0.48229968509606713,1.1973618985192407,0.23116552774716936,0.024191283464450986
covid_recent,2020,2024,table_V_col4_FinNeg_tfidf_MDA,fin_neg_tfidf_mda,1237,6,-7.87237001246676e-06,0.010062910435645764,-0.0007823154208528508,0.9993758026676935,0.03272039915469958
full,1994,2024,table_IV_col2_FinNeg_prop,fin_neg_prop,82413,110,-0.12447111204206368,0.07422502070892113,-1.6769427728445678,0.0935536729673605,0.03773654554649782
full,1994,2024,table_IV_col4_FinNeg_tfidf,fin_neg_tfidf_full,82413,110,-0.004448818379880425,0.0024764980037761124,-1.796415088199934,0.07242852599393346,0.04003403143688657
full,1994,2024,table_V_col2_FinNeg_prop_MDA,fin_neg_prop_mda,79656,110,-0.15528524445600642,0.04555339187983256,-3.4088623930714244,0.0006523437646319685,0.039337013242810095
full,1994,2024,table_V_col4_FinNeg_tfidf_MDA,fin_neg_tfidf_mda,79656,110,-0.010780732521157908,0.002831240075121168,-3.807777593956432,0.00014022129564605912,0.04088009841633708
