variable,n,mean,median,std,min,max
Fin-Neg,83422,1.56200883387193,1.5652841446479973,0.538493001377124,0.4232054228137809,2.982630614566416
Fin-Pos,83422,0.7201813539024048,0.7061090783467109,0.1977528947849981,0.2714886682142971,1.3308278208695348
"Excess return [0,3] (%)",83422,-0.18707823798199955,-0.18253954081202672,6.252785713613489,-21.61280150330944,20.94347844297401
Size ($B),83422,3.188264348107365,0.42352910000000005,9.637608621823949,0.012871575000000001,71.68974848489998
Book-to-market,83422,0.6232466357506781,0.523651761711406,0.45682724881323516,0.0365345179433027,2.5181238109844775
"Turnover (pre, median)",83403,1.5146508900223266,0.9979659728162722,1.607509861340173,0.04714675190229898,9.013193730014207
1-yr pre-event FF alpha,83422,0.11194917744941489,0.06886717366013378,0.44879363329274075,-0.9834303676280053,1.8376357631419582
Institutional ownership,82475,0.5288718855871013,0.5452281916656492,0.305013906860551,0.004502021200856585,1.1170660480954038
NASDAQ dummy,83422,0.5825321857543574,1.0,0.49314435362182074,0.0,1.0
